Name,DocumentService,UIName,Flags,Type,Extensions,MediaType
AbiWord,com.sun.star.text.TextDocument,AbiWord ドキュメント,IMPORT,writer_AbiWord_Document,abw zabw,application/x-abiword
Apple Pages,com.sun.star.text.TextDocument,Apple Pages,IMPORT PREFERRED,writer_ApplePages,pages,application/x-iwork-pages-sffpages
BroadBand eBook,com.sun.star.text.TextDocument,BroadBand eBook,IMPORT PREFERRED,writer_BroadBand_eBook,lrf,application/x-sony-bbeb
ClarisWorks,com.sun.star.text.TextDocument,ClarisWorks/AppleWorks 文書ドキュメント,IMPORT PREFERRED,writer_ClarisWorks,cwk,application/clarisworks
DocBook File,com.sun.star.text.TextDocument,DocBook,IMPORT EXPORT,writer_DocBook_File,xml,application/docbook+xml
DosWord,com.sun.star.text.TextDocument,Microsoft Word for DOS,IMPORT,writer_DosWord,doc,
EPUB,com.sun.star.text.TextDocument,EPUB文書,EXPORT,writer_EPUB_Document,epub,application/epub+zip
FictionBook 2,com.sun.star.text.TextDocument,FictionBook 2.0,IMPORT PREFERRED,writer_FictionBook_2,fb2 zip,application/x-fictionbook+xml
HTML (StarWriter),com.sun.star.text.TextDocument,HTML ドキュメント (Writer),IMPORT EXPORT,generic_HTML,html xhtml htm,text/html
LotusWordPro,com.sun.star.text.TextDocument,Lotus WordPro ドキュメント,IMPORT PREFERRED,writer_LotusWordPro_Document,lwp,application/vnd.lotus-wordpro
MS WinWord 5,com.sun.star.text.TextDocument,Microsoft WinWord 1/2/5,IMPORT,writer_MS_WinWord_5,doc,application/msword
MS WinWord 6.0,com.sun.star.text.TextDocument,Microsoft Word 6.0,IMPORT,writer_MS_WinWord_60,doc,application/msword
MS Word 2003 XML,com.sun.star.text.TextDocument,Word 2003 XML,IMPORT EXPORT,writer_MS_Word_2003_XML,xml doc,
MS Word 2007 XML,com.sun.star.text.TextDocument,Word 2007–2019,IMPORT EXPORT,writer_MS_Word_2007,docx,application/msword
MS Word 2007 XML Template,com.sun.star.text.TextDocument,Word 2007–2019 テンプレート,IMPORT,writer_MS_Word_2007_Template,dotx dotm,application/msword
MS Word 2007 XML VBA,com.sun.star.text.TextDocument,Word 2007–2019 VBA,IMPORT EXPORT,writer_MS_Word_2007_VBA,docm,application/msword
MS Word 95,com.sun.star.text.TextDocument,Microsoft Word 95,IMPORT,writer_MS_Word_95,doc,application/msword
MS Word 95 Vorlage,com.sun.star.text.TextDocument,Microsoft Word 95 テンプレート,IMPORT,writer_MS_Word_95_Vorlage,dot,application/msword
MS Word 97,com.sun.star.text.TextDocument,Word 97–2003,IMPORT EXPORT PREFERRED,writer_MS_Word_97,doc wps,application/msword
MS Word 97 Vorlage,com.sun.star.text.TextDocument,Word 97–2003 テンプレート,IMPORT EXPORT,writer_MS_Word_97_Vorlage,dot wpt,application/msword
MS_Works,com.sun.star.text.TextDocument,Microsoft Works ドキュメント,IMPORT,writer_MS_Works_Document,wps,application/vnd.ms-works
MS_Write,com.sun.star.text.TextDocument,Microsoft Write,IMPORT,writer_MS_Write,wri,application/x-mswrite
MWAW_Text_Document,com.sun.star.text.TextDocument,古いMacの文書ドキュメント,IMPORT PREFERRED,MWAW_Text_Document,*,
MacWrite,com.sun.star.text.TextDocument,MacWrite ドキュメント,IMPORT PREFERRED,writer_MacWrite,mw mcw,application/macwriteii
Mac_Word,com.sun.star.text.TextDocument,Microsoft Word for Mac (v1 - v5),IMPORT PREFERRED,writer_Mac_Word,doc,application/msword
Mac_Works,com.sun.star.text.TextDocument,Microsoft Works for Mac 文書ドキュメント (v1 - v4),IMPORT PREFERRED,writer_Mac_Works,wps,application/vnd.ms-works
Mariner_Write,com.sun.star.text.TextDocument,Mariner Write Mac Classic v1.6 - v3.5,IMPORT PREFERRED,writer_Mariner_Write,mwd,
MediaWiki,com.sun.star.text.TextDocument,MediaWiki,EXPORT,MediaWiki,txt,
Office Open XML Text,com.sun.star.text.TextDocument,Office Open XML 文書,IMPORT EXPORT,writer_OOXML,docx docm,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Office Open XML Text Template,com.sun.star.text.TextDocument,Office Open XML 文書テンプレート,IMPORT,writer_OOXML_Text_Template,dotx dotm,application/vnd.openxmlformats-officedocument.wordprocessingml.template
OpenDocument Text Flat XML,com.sun.star.text.TextDocument,Flat XML ODF 文書ドキュメント,IMPORT EXPORT,writer_ODT_FlatXML,fodt odt xml,application/vnd.oasis.opendocument.text-flat-xml
PalmDoc,com.sun.star.text.TextDocument,PalmDoc eBook,IMPORT PREFERRED,writer_PalmDoc,pdb,application/x-aportisdoc
Palm_Text_Document,com.sun.star.text.TextDocument,Palm 文書ドキュメント,IMPORT PREFERRED,Palm_Text_Document,pdb,application/vnd.palm
Plucker eBook,com.sun.star.text.TextDocument,Plucker eBook,IMPORT PREFERRED,writer_Plucker_eBook,pdb,application/prs.plucker
Rich Text Format,com.sun.star.text.TextDocument,Rich Text,IMPORT EXPORT PREFERRED,writer_Rich_Text_Format,rtf,application/rtf
StarOffice XML (Writer),com.sun.star.text.TextDocument,OpenOffice.org 1.0 文書ドキュメント,IMPORT PREFERRED,writer_StarOffice_XML_Writer,sxw,application/vnd.sun.xml.writer
StarOffice_Writer,com.sun.star.text.TextDocument,古い StarOffice 文書ドキュメント,IMPORT PREFERRED,StarOffice_Writer,sdw,
T602Document,com.sun.star.text.TextDocument,T602 ドキュメント,IMPORT PREFERRED,writer_T602_Document,602 txt,application/x-t602
Text,com.sun.star.text.TextDocument,テキスト,IMPORT EXPORT PREFERRED,generic_Text,csv tsv tab txt,text/plain
Text (encoded),com.sun.star.text.TextDocument,文書 - エンコードの選択,IMPORT EXPORT,generic_Text,csv tsv tab txt,text/plain
UOF text,com.sun.star.text.TextDocument,Unified Office Format テキスト,IMPORT EXPORT,Unified_Office_Format_text,uot uof,
WordPerfect,com.sun.star.text.TextDocument,WordPerfect ドキュメント,IMPORT PREFERRED,writer_WordPerfect_Document,wpd,application/vnd.wordperfect
WriteNow,com.sun.star.text.TextDocument,WriteNow ドキュメント,IMPORT PREFERRED,writer_WriteNow,wn nx^d,
XHTML Writer File,com.sun.star.text.TextDocument,XHTML,EXPORT,XHTML_File,html xhtml,application/xhtml+xml
writer8,com.sun.star.text.TextDocument,ODF 文書ドキュメント,IMPORT EXPORT DEFAULT PREFERRED,writer8,odt,application/vnd.oasis.opendocument.text
writer8_template,com.sun.star.text.TextDocument,ODF 文書ドキュメントテンプレート,IMPORT EXPORT,writer8_template,ott,application/vnd.oasis.opendocument.text-template
writer_MIZI_Hwp_97,com.sun.star.text.TextDocument,Hangul WP 97,IMPORT,writer_MIZI_Hwp_97,hwp,application/x-hwp
writer_StarOffice_XML_Writer_Template,com.sun.star.text.TextDocument,OpenOffice.org 1.0 文書ドキュメントテンプレート,IMPORT,writer_StarOffice_XML_Writer_Template,stw,application/vnd.sun.xml.writer.template
writer_jpg_Export,com.sun.star.text.TextDocument,JPEG - Joint Photographic Experts Group,EXPORT,jpg_JPEG,jpg jpeg jfif jif jpe,image/jpeg
writer_layout_dump,com.sun.star.text.TextDocument,Writer Layout XML,EXPORT,writer_layout_dump_xml,xml,
writer_pdf_Export,com.sun.star.text.TextDocument,PDF - Portable Document Format,EXPORT,pdf_Portable_Document_Format,pdf,application/pdf
writer_pdf_addstream_import,com.sun.star.text.TextDocument,PDF - Portable Document Format,IMPORT,pdf_Portable_Document_Format,pdf,application/pdf
writer_pdf_import,com.sun.star.text.TextDocument,PDF - Portable Document Format (Writer),IMPORT PREFERRED,pdf_Portable_Document_Format,pdf,application/pdf
writer_png_Export,com.sun.star.text.TextDocument,PNG - Portable Network Graphic,EXPORT,png_Portable_Network_Graphic,png,image/png
HTML,com.sun.star.text.WebDocument,HTML ドキュメント,IMPORT EXPORT PREFERRED,generic_HTML,html xhtml htm,text/html
MediaWiki_Web,com.sun.star.text.WebDocument,MediaWiki,EXPORT,MediaWiki,txt,
Text (StarWriter/Web),com.sun.star.text.WebDocument,文書 (Writer/Web),IMPORT EXPORT,generic_Text,csv tsv tab txt,text/plain
Text (encoded) (StarWriter/Web),com.sun.star.text.WebDocument,文書 - エンコードの選択 (Writer/Web),IMPORT EXPORT,generic_Text,csv tsv tab txt,text/plain
writer_web_HTML_help,com.sun.star.text.WebDocument,Help コンテンツ,IMPORT,writer_web_HTML_help,,
writer_web_StarOffice_XML_Writer,com.sun.star.text.WebDocument,OpenOffice.org 1.0 文書ドキュメント (Writer/Web),EXPORT,writer_StarOffice_XML_Writer,sxw,application/vnd.sun.xml.writer
writer_web_StarOffice_XML_Writer_Web_Template,com.sun.star.text.WebDocument,OpenOffice.org 1.0 HTML テンプレート,IMPORT,writer_web_StarOffice_XML_Writer_Web_Template,stw,application/vnd.sun.xml.writer.web
writer_web_jpg_Export,com.sun.star.text.WebDocument,JPEG - Joint Photographic Experts Group,EXPORT,jpg_JPEG,jpg jpeg jfif jif jpe,image/jpeg
writer_web_pdf_Export,com.sun.star.text.WebDocument,PDF - Portable Document Format,EXPORT,pdf_Portable_Document_Format,pdf,application/pdf
writer_web_png_Export,com.sun.star.text.WebDocument,PNG - Portable Network Graphic,EXPORT,png_Portable_Network_Graphic,png,image/png
writerweb8_writer,com.sun.star.text.WebDocument,文書 (Writer/Web),EXPORT,writer8,odt,application/vnd.oasis.opendocument.text
writerweb8_writer_template,com.sun.star.text.WebDocument,HTML ドキュメントテンプレート,IMPORT EXPORT,writerweb8_writer_template,oth,application/vnd.oasis.opendocument.text-web
